,tag
7997,street_music
7213,siren
4902,engine_idling
2654,dog_bark
3493,drilling
4392,drilling
2139,children_playing
4524,engine_idling
358,air_conditioner
3682,drilling
2286,children_playing
5082,engine_idling
5759,gun_shot
4113,drilling
7404,siren
4829,engine_idling
5215,engine_idling
1600,children_playing
7802,street_music
8479,street_music
6640,jackhammer
1540,children_playing
8267,street_music
6740,jackhammer
7249,siren
1966,children_playing
6667,jackhammer
7883,street_music
613,air_conditioner
2861,dog_bark
2072,children_playing
7553,siren
1687,children_playing
7292,siren
7152,siren
7360,siren
854,air_conditioner
5967,jackhammer
3392,dog_bark
7052,siren
1945,children_playing
2159,children_playing
5148,engine_idling
3657,drilling
5713,gun_shot
3242,dog_bark
1701,children_playing
3835,drilling
7831,street_music
348,air_conditioner
8689,street_music
4927,engine_idling
6226,jackhammer
248,air_conditioner
1671,children_playing
2982,dog_bark
6629,jackhammer
2261,children_playing
7732,street_music
4444,engine_idling
627,air_conditioner
1045,car_horn
7681,siren
8628,street_music
8550,street_music
7541,siren
4958,engine_idling
4076,drilling
3563,drilling
3182,dog_bark
4901,engine_idling
3731,drilling
528,air_conditioner
4204,drilling
1579,children_playing
3198,dog_bark
2618,dog_bark
225,air_conditioner
6944,siren
6835,siren
5810,jackhammer
6536,jackhammer
1964,children_playing
1356,car_horn
4214,drilling
5896,jackhammer
3706,drilling
2665,dog_bark
4515,engine_idling
5857,jackhammer
3878,drilling
3489,drilling
7723,siren
3652,drilling
4360,drilling
452,air_conditioner
1065,car_horn
6118,jackhammer
3418,dog_bark
4764,engine_idling
1556,children_playing
5199,engine_idling
4228,drilling
6821,siren
5349,engine_idling
6596,jackhammer
7314,siren
5981,jackhammer
4854,engine_idling
3476,drilling
7377,siren
907,air_conditioner
3238,dog_bark
4551,engine_idling
5590,gun_shot
5588,gun_shot
4535,engine_idling
2279,children_playing
4769,engine_idling
3769,drilling
5775,gun_shot
2350,children_playing
7426,siren
2218,children_playing
4765,engine_idling
6190,jackhammer
2045,children_playing
3373,dog_bark
1722,children_playing
